comuna,casos,fecha
La Florida,43,2020-03-30
La Florida,58,2020-04-01
La Florida,67,2020-04-03
La Florida,91,2020-04-06
La Florida,103,2020-04-08
La Florida,126,2020-04-10
La Florida,165,2020-04-13
La Florida,176,2020-04-15
La Florida,211,2020-04-17
La Florida,231,2020-04-20
La Florida,282,2020-04-24
La Florida,328,2020-04-27
La Florida,428,2020-05-01
La Florida,578,2020-05-04
La Florida,824,2020-05-08
La Florida,1071,2020-05-11
La Florida,1538,2020-05-15
La Florida,1887,2020-05-18
La Florida,2514,2020-05-22
La Florida,3256,2020-05-25
La Florida,3927,2020-05-29
La Florida,4550,2020-06-01
La Florida,5237,2020-06-05
La Florida,6031,2020-06-08
La Florida,6879,2020-06-12
La Florida,7633,2020-06-15
La Florida,9515,2020-06-19
La Florida,10208,2020-06-23
La Florida,11143,2020-06-28
La Florida,11510,2020-07-01
La Florida,11966,2020-07-05
La Florida,12342,2020-07-10
La Florida,12589,2020-07-13
La Florida,12835,2020-07-17
La Florida,12936,2020-07-20
La Florida,13038,2020-07-24
La Florida,13156,2020-07-27
La Florida,13274,2020-07-31
La Florida,13357,2020-08-03
La Florida,13500,2020-08-07
La Florida,13626,2020-08-10
La Florida,13737,2020-08-14
La Florida,13824,2020-08-17
La Florida,13894,2020-08-21
La Florida,13980,2020-08-24
La Florida,14079,2020-08-28
La Florida,14186,2020-08-31
La Florida,14320,2020-09-04
La Florida,14439,2020-09-07
La Florida,14572,2020-09-11
La Florida,14653,2020-09-14
La Florida,14766,2020-09-18
La Florida,14831,2020-09-21
La Florida,14928,2020-09-25
La Florida,15004,2020-09-28
La Florida,15106,2020-10-02
La Florida,15188,2020-10-05
La Florida,15260,2020-10-09
La Florida,15322,2020-10-12
La Florida,15411,2020-10-16
La Florida,15485,2020-10-19
La Florida,15576,2020-10-24
La Florida,15618,2020-10-26
La Florida,15681,2020-10-30
La Florida,15754,2020-11-02
La Florida,15822,2020-11-06
La Florida,15867,2020-11-09
La Florida,15916,2020-11-13
La Florida,15978,2020-11-16
La Florida,16045,2020-11-20
La Florida,16115,2020-11-23
La Florida,16216,2020-11-27
La Florida,16316,2020-11-30
La Florida,16401,2020-12-04
La Florida,16470,2020-12-07
La Florida,16562,2020-12-11
La Florida,16667,2020-12-14
La Florida,16786,2020-12-18
La Florida,16906,2020-12-21
La Florida,17039,2020-12-25
La Florida,17129,2020-12-28
La Florida,17316,2021-01-01
La Florida,17445,2021-01-04
La Florida,17645,2021-01-08
La Florida,17813,2021-01-11
La Florida,18017,2021-01-15
La Florida,18166,2021-01-18
La Florida,18353,2021-01-22
La Florida,18495,2021-01-25
La Florida,18730,2021-01-29
La Florida,18881,2021-02-01
La Florida,19006,2021-02-05
La Florida,19151,2021-02-08
La Florida,19346,2021-02-12
La Florida,19471,2021-02-15
La Florida,19715,2021-02-19
La Florida,19841,2021-02-22
La Florida,20105,2021-02-26
La Florida,20338,2021-03-01
La Florida,20676,2021-03-05
La Florida,21051,2021-03-08
La Florida,21549,2021-03-12
La Florida,21934,2021-03-15
La Florida,22496,2021-03-19
La Florida,23064,2021-03-22
La Florida,23664,2021-03-26
La Florida,24255,2021-03-29
La Florida,24952,2021-04-02
La Florida,25583,2021-04-05
La Florida,26411,2021-04-09
